"signature","major_cancer_type","n_msi","n_mss","msi_pos","msi_neg","mss_pos","mss_neg","msi_pos_rate","mss_pos_rate","odds_ratio","p_value","p_adj"
"ID_E/InsDel_E","Colon",24,628,1,23,3,625,0.0416666666666667,0.00477707006369427,8.97372927131781,0.139610904814996,0.703638960267579
"ID_D/InsDel_D","Stomach",6,113,1,5,2,111,0.166666666666667,0.0176991150442478,10.5196080094187,0.144924201753713,0.71144608133641
"ID_J/InsDel_J","Stomach",6,113,1,5,2,111,0.166666666666667,0.0176991150442478,10.5196080094187,0.144924201753713,0.71144608133641
"C_ID1/InsDel1c","Skin",2,430,1,1,33,397,0.5,0.0767441860465116,11.8671817411018,0.151381369768841,0.729700769905989
"C_ID2/InsDel2b","Prostate",19,682,1,18,5,677,0.0526315789473684,0.00733137829912024,7.46613376873414,0.152503600059717,0.729700769905989
"C_ID18/InsDel18","Colon",24,628,0,24,58,570,0,0.0923566878980892,0,0.155703865643538,0.735700765165715
"C_ID9/InsDel9","CNS",5,367,0,5,125,242,0,0.340599455040872,0,0.172776625582005,0.806290919382692
"ID_N/InsDel_N_beta","Breast",6,947,0,6,311,636,0,0.328405491024287,0,0.185444056863077,0.85121074196833
"ID_B/InsDel_B","Breast",6,947,0,6,285,662,0,0.300950369588173,0,0.186906062389871,0.85121074196833
"C_ID19/InsDel19b","Skin",2,430,0,2,240,190,0,0.558139534883721,0,0.196957978860531,0.875816012576667
"ID_A/InsDel_A_beta","CNS",5,367,1,4,15,352,0.2,0.0408719346049046,5.80523606391498,0.19831044832965,0.875816012576667
"C_ID4/InsDel4","Breast",6,947,0,6,257,690,0,0.271383315733897,0,0.199259727729083,0.875816012576667
"C_ID1/InsDel1a","Lung",2,574,0,2,316,258,0,0.550522648083624,0,0.203321256038647,0.88339580209895
"C_ID1/InsDel1a","Other",3,350,1,2,241,109,0.333333333333333,0.688571428571429,0.227205251816279,0.233764012977894,1
"C_ID4/InsDel4","Kidney",2,304,1,1,38,266,0.5,0.125,6.9225333750253,0.239022822243652,1
"C_ID2/InsDel2a","Colon",24,628,3,21,44,584,0.125,0.0700636942675159,1.89377248147571,0.246059421228065,1
"ID_A/InsDel_A_alpha","Colon",24,628,0,24,51,577,0,0.0812101910828025,0,0.246189763197311,1
"C_ID1/InsDel1c","Prostate",19,682,0,19,75,607,0,0.109970674486804,0,0.248667619672862,1
"C_ID6/InsDel6","Prostate",19,682,0,19,75,607,0,0.109970674486804,0,0.248667619672862,1
"C_ID19/InsDel19b","Bladder",3,195,0,3,81,114,0,0.415384615384615,0,0.27111213659437,1
"C_ID6/InsDel6","Breast",6,947,0,6,197,750,0,0.208025343189018,0,0.354842692777036,1
"C_ID5/InsDel5a","Uterus",16,106,0,16,11,95,0,0.10377358490566,0,0.355992041443755,1
"C_ID6/InsDel6","Uterus",16,106,0,16,12,94,0,0.113207547169811,0,0.362854934093932,1
"C_ID12/InsDel12","Prostate",19,682,0,19,51,631,0,0.0747800586510264,0,0.387543229341113,1
"ID_B/InsDel_B","Bladder",3,195,1,2,29,166,0.333333333333333,0.148717948717949,2.84127961319328,0.390818994879909,1
"C_ID13/InsDel13","Skin",2,430,1,1,322,108,0.5,0.748837209302326,0.336434069060948,0.441404571624989,1
"C_ID1/InsDel1a","Kidney",2,304,1,1,89,215,0.5,0.292763157894737,2.40786983139669,0.502410800385728,1
"C_ID1/InsDel1a","Skin",2,430,0,2,188,242,0,0.437209302325581,0,0.507261321646473,1
"ID_N/InsDel_N_beta","Other",3,350,0,3,113,237,0,0.322857142857143,0,0.554154532908074,1
"ID_N/InsDel_N_beta","CNS",5,367,0,5,76,291,0,0.20708446866485,0,0.587789057784198,1
"C_ID19/InsDel19b","CNS",5,367,0,5,68,299,0,0.185286103542234,0,0.589440780278352,1
"C_ID19/InsDel19b","Stomach",6,113,0,6,17,96,0,0.150442477876106,0,0.591955549021619,1
"C_ID10/InsDel10","Uterus",16,106,0,16,8,98,0,0.0754716981132075,0,0.595051181235659,1
"ID_B/InsDel_B","Colon",24,628,0,24,30,598,0,0.0477707006369427,0,0.619949606183411,1
"C_ID4/InsDel4","CNS",5,367,1,4,152,215,0.2,0.4141689373297,0.354468162712261,0.652541770246206,1
"C_ID3/InsDel3b","Bladder",3,195,0,3,42,153,0,0.215384615384615,0,1,1
"C_ID3/InsDel3a","Breast",6,947,0,6,8,939,0,0.00844772967265047,0,1,1
"C_ID3/InsDel3b","Breast",6,947,0,6,16,931,0,0.0168954593453009,0,1,1
"C_ID5/InsDel5a","Breast",6,947,0,6,104,843,0,0.109820485744456,0,1,1
"C_ID11/InsDel11","Breast",6,947,0,6,1,946,0,0.00105596620908131,0,1,1
"C_ID13/InsDel13","Breast",6,947,0,6,1,946,0,0.00105596620908131,0,1,1
"C_ID1/InsDel1b","CNS",5,367,0,5,15,352,0,0.0408719346049046,0,1,1
"C_ID5/InsDel5a","CNS",5,367,0,5,15,352,0,0.0408719346049046,0,1,1
"C_ID8/InsDel8","CNS",5,367,0,5,10,357,0,0.0272479564032698,0,1,1
"C_ID14/InsDel14","CNS",5,367,0,5,1,366,0,0.00272479564032698,0,1,1
"ID_E/InsDel_E","CNS",5,367,0,5,1,366,0,0.00272479564032698,0,1,1
"ID_F/InsDel_F","CNS",5,367,0,5,13,354,0,0.0354223433242507,0,1,1
"ID_G/InsDel_G","CNS",5,367,0,5,1,366,0,0.00272479564032698,0,1,1
"ID_K/InsDel_K","CNS",5,367,0,5,1,366,0,0.00272479564032698,0,1,1
"ID_M/InsDel_M","CNS",5,367,0,5,1,366,0,0.00272479564032698,0,1,1
"C_ID5/InsDel5c","Kidney",2,304,0,2,9,295,0,0.0296052631578947,0,1,1
"ID_N/InsDel_N_beta","Kidney",2,304,0,2,9,295,0,0.0296052631578947,0,1,1
"C_ID2/InsDel2a","Lung",2,574,0,2,20,554,0,0.0348432055749129,0,1,1
"C_ID8/InsDel8","Lung",2,574,0,2,15,559,0,0.0261324041811847,0,1,1
"C_ID5/InsDel5a","Other",3,350,0,3,45,305,0,0.128571428571429,0,1,1
"C_ID5/InsDel5b","Other",3,350,0,3,1,349,0,0.00285714285714286,0,1,1
"C_ID8/InsDel8","Other",3,350,0,3,8,342,0,0.0228571428571429,0,1,1
