"signature","group","OR","p","FDR"
"InsDel5c","MSI-H",0,0.272751571840429,0.397511754543464
"InsDel6","MSI-H",0.207757209252226,0.0110283742182688,0.0287859259256509
"InsDel7","MSI-H",2732.6624055634,4.15245762339472e-153,4.7960885550209e-151
"InsDel8","MSI-H",0.206830709595144,0.0906975985652545,0.166821026908598
"InsDel9","MSI-H",0,1.62724284995229e-07,8.7416999613716e-07
"InsDel10","MSI-H",0,0.179802163102999,0.296673569119948
"InsDel11","MSI-H",40.6650834578175,1.71573917701063e-15,1.5243682688056e-14
"InsDel12","MSI-H",1.62307972022851,0.357436438382,0.49757711347802
"InsDel13","MSI-H",0.43122032515914,0.327015081918309,0.46061270684835
"InsDel14","MSI-H",1.35434674543029,0.460641774221023,0.602879602521565
"InsDel17","MSI-H",1.51852039740402,0.489407319460348,0.635129723569329
"InsDel18","MSI-H",0,0.62999794563467,0.756577683896748
"InsDel19a","MSI-H",2.06771439798342,0.261056137138974,0.390316942906815
"InsDel19b","MSI-H",0.624892923088286,0.0703222795911943,0.137083937430936
"InsDel23","MSI-H",0,0.627647668084018,0.756577683896748
"InsDel_A_alpha","MSI-H",0,0.120072634045833,0.208547206500657
"InsDel_A_beta","MSI-H",1.9826368159732,0.155818109264132,0.26369218490853
"InsDel_B","MSI-H",0.103827046305182,9.42489572101049e-06,4.44316512561923e-05
"InsDel_C","MSI-H",1.58225432073744,0.475719920771009,0.619105925059736
"InsDel_D","MSI-H",34.2240003885833,1.19702187710273e-37,3.950172194439e-36
"InsDel_E","MSI-H",0.878309807059235,1,1
"InsDel_F","MSI-H",0,0.629512149325713,0.756577683896748
"InsDel_G","MSI-H",1.37949818732385,0.522098894144724,0.668170883919287
"InsDel_H","MSI-H",0,1,1
"InsDel_I","MSI-H",0,1,1
"InsDel_J","MSI-H",84.5233940661267,3.20360023199196e-55,1.48006330718029e-53
"InsDel_K","MSI-H",3.46446610242612,0.261051362195666,0.390316942906815
"InsDel_L","MSI-H",5.49973417028131,0.0578390687658368,0.115179524869899
"InsDel_M","MSI-H",38.0301458558376,7.41086339351014e-09,4.27977360975211e-08
"InsDel_N_alpha","MSI-H",2.55512238009968,0.19361306417521,0.307796402978277
"InsDel_N_beta","MSI-H",0,1.39908989177201e-19,1.61594882499667e-18
"InsDel1a","MSS-hyper",0.283258059195127,1.42530681116793e-36,4.38994497839721e-35
"InsDel1b","MSS-hyper",1.1521441026024,0.627198794412002,0.756577683896748
"InsDel1c","MSS-hyper",0.467200655714116,0.00038759555299803,0.00144410601197653
"InsDel2a","MSS-hyper",5.49572029510729,2.40014643766673e-22,3.46521141938134e-21
"InsDel2b","MSS-hyper",4.81653748921948,1.15780208432618e-08,6.60376003652713e-08
"InsDel2c","MSS-hyper",3.38560600041714,2.62480818317036e-05,0.000116602055829299
"InsDel3a","MSS-hyper",0.758209440982546,0.818103373535632,0.900973903426887
"InsDel3b","MSS-hyper",3.81016251386743,1.88804584985612e-30,3.96489628469785e-29
"InsDel4","MSS-hyper",0.462769284869313,2.69358753787428e-05,0.000118517851666469
"InsDel5a","MSS-hyper",0.0684353623249947,1.48756870897605e-29,2.98807279803014e-28
"InsDel5b","MSS-hyper",0,0.0213254632512862,0.0500120001121534
"InsDel5c","MSS-hyper",0.352337530661387,0.0349622343514448,0.0744357247482374
"InsDel6","MSS-hyper",1.32850621577842,0.0537128438118516,0.108363903236137
"InsDel7","MSS-hyper",9.07094293018136,2.10106621810866e-29,4.04455246985916e-28
"InsDel8","MSS-hyper",0.511429060832366,0.0162888793429394,0.0402431136707915
"InsDel9","MSS-hyper",0.210945676535322,2.88017888585008e-17,2.95698365613942e-16
"InsDel10","MSS-hyper",0.36933633688973,0.0179767039363865,0.0437117748347925
"InsDel11","MSS-hyper",7.27616877258148,2.43471579932601e-07,1.25441319887875e-06
"InsDel12","MSS-hyper",0.142257314388131,0.021635675901079,0.0504832437691842
"InsDel13","MSS-hyper",0.703000585909335,0.186708746562468,0.301742894524431
"InsDel14","MSS-hyper",5.98376601405148,3.12678762710026e-33,8.21152280741114e-32
"InsDel17","MSS-hyper",0.854355132582187,1,1
"InsDel18","MSS-hyper",3.50984017273822,4.59144661143539e-05,0.000194609938943408
"InsDel19a","MSS-hyper",1.62020539979998,0.244948891696359,0.377221293212393
"InsDel19b","MSS-hyper",0.359649309889054,5.24509661496429e-18,5.5073514457125e-17
"InsDel23","MSS-hyper",0.367214045976559,0.172942361806436,0.289490475197731
"InsDel_A_alpha","MSS-hyper",2.23850954814872,0.000203521197785263,0.000796837232006709
"InsDel_A_beta","MSS-hyper",0.345398872340626,0.0250397110323541,0.0561570218298427
"InsDel_B","MSS-hyper",0.320703268383697,1.49169922422093e-12,1.16807634167809e-11
"InsDel_C","MSS-hyper",0.283610233464547,0.257168210387357,0.390316942906815
"InsDel_D","MSS-hyper",3.78072307254484,6.08644646065699e-10,3.79991657408585e-09
"InsDel_E","MSS-hyper",1.2002854249369,0.66525816537358,0.778099423804036
"InsDel_F","MSS-hyper",1.24762416616607,0.513460424438511,0.664478196332191
"InsDel_G","MSS-hyper",1.05309037346604,0.791127331700162,0.878607757801622
"InsDel_H","MSS-hyper",1.59733055255073,0.378093481505886,0.516802332709229
"InsDel_I","MSS-hyper",0,0.63610805852475,0.756577683896748
"InsDel_J","MSS-hyper",7.55562993996426,4.24853654069277e-18,4.5647067018606e-17
"InsDel_K","MSS-hyper",3.82936936077897,0.0173288796074182,0.042584799886315
"InsDel_L","MSS-hyper",3.45097294779075,0.0141157157459502,0.0354427210577664
"InsDel_M","MSS-hyper",6.46285378912414,0.000450765809710058,0.00165280796893688
"InsDel_N_alpha","MSS-hyper",1.20246535283354,0.611991999600469,0.756577683896748
"InsDel_N_beta","MSS-hyper",2.17144366876915,6.89185117714625e-16,6.36807048768314e-15
