"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel3b","Kidney",0.0719314264917965,3.87497143183495e-13,3,3.19115294386408e-12
"InsDel4","Kidney",1.16393799584714,0.360829841057056,40,0.520785337608122
"InsDel5a","Kidney",43.4888627875965,2.09429778602291e-172,267,2.19901267532406e-170
"InsDel5b","Kidney",1.86088973088638,0.204272915683848,5,0.34045485947308
"InsDel5c","Kidney",1.33510422385629,0.425631066892726,9,0.565374041751728
"InsDel6","Kidney",0.118609539536005,2.04788241376237e-09,4,1.28374718474656e-08
"InsDel7","Kidney",0.556654896837851,0.325997877815514,4,0.481916962826982
"InsDel8","Kidney",0.302673853649573,0.00294439211612843,5,0.00966128663104641
"InsDel9","Kidney",0.165447473033889,1.93457452462695e-13,10,1.65820673539453e-12
"InsDel10","Kidney",0.348990203351505,0.0673830143123152,3,0.142215407091319
"InsDel11","Kidney",1.1184014793069,0.700854839437911,2,0.806463102914857
"InsDel12","Kidney",0,0.0221542692756228,0,0.0550579473121987
"InsDel13","Kidney",0,2.25307387501798e-07,0,1.21319362500968e-06
"InsDel14","Kidney",0,2.32319356277053e-07,0,1.23511556501724e-06
"InsDel17","Kidney",0.434069045945094,0.726748737312607,1,0.824771022071744
"InsDel18","Kidney",0.522062617055532,0.589122092774623,2,0.729199208684278
"InsDel19a","Kidney",0,0.0806887995786866,0,0.16612399913259
"InsDel19b","Kidney",0.486918033030925,2.48248670075936e-07,59,1.30330551789867e-06
"InsDel23","Kidney",1.54354067576831,0.38696961855579,5,0.539957607287149
"InsDel_A_alpha","Kidney",0.294414781025486,0.0188095615347017,3,0.0477193943664597
"InsDel_A_beta","Kidney",0.134258323711209,0.0102805476071669,1,0.0276783974039109
"InsDel_B","Kidney",0.232115125354636,1.78889399956062e-11,15,1.25222579969244e-10
"InsDel_C","Kidney",0.452290622221867,0.724292350910314,1,0.824397797784097
"InsDel_D","Kidney",0.119577685161619,0.00488321949054199,1,0.0147550516980406
"InsDel_E","Kidney",1.05099929610082,0.792571854583637,4,0.8783118177444
"InsDel_F","Kidney",0.260190737777192,0.272974279262523,1,0.421832775370549
"InsDel_G","Kidney",0,0.178010856206092,0,0.308944461184126
"InsDel_H","Kidney",0,0.273186940239975,0,0.421832775370549
"InsDel_I","Kidney",0,1,0,1
"InsDel_J","Kidney",0,0.00988760670224409,0,0.0271424497708661
"InsDel_K","Kidney",0,0.623314580375957,0,0.75090039997693
"InsDel_L","Kidney",0,0.641141364181278,0,0.756402733022856
"InsDel_M","Kidney",0,0.623161840774533,0,0.75090039997693
"InsDel_N_alpha","Kidney",0,0.114543412319617,0,0.218673787155633
"InsDel_N_beta","Kidney",0.0465182706428528,1.45221099898545e-50,9,5.08273849644906e-49
"InsDel1a","Liver",2.15008556320504,1.03723967025593e-11,271,7.38374002555066e-11
"InsDel1b","Liver",1.07455613508266,0.856803166865656,9,0.926335284497283
"InsDel1c","Liver",3.38721044664978,7.82048735931887e-17,82,8.0112309534486e-16
"InsDel2a","Liver",0,1.78991365074063e-06,0,8.61167866784086e-06
"InsDel2b","Liver",0.56408039782193,0.490493467651715,3,0.629991609827891
"InsDel2c","Liver",0.177270824908308,0.0664378816734862,1,0.140928839913456
"InsDel3a","Liver",1.77980629446943,0.193360522018769,7,0.323974051607922
"InsDel3b","Liver",12.8841284510949,4.4141478745061e-107,213,2.64848872470366e-105
"InsDel4","Liver",0.0191308738576463,2.20383575743766e-19,1,2.57114171701061e-18
"InsDel5a","Liver",3.97751898558812,6.83477106069503e-33,159,1.59477991416217e-31
"InsDel5b","Liver",8.93308569574282,7.54109367397591e-12,21,5.46079197081014e-11
"InsDel5c","Liver",0.449222169240073,0.149961429302653,4,0.264637816416446
"InsDel6","Liver",0.397802826691289,7.3751686604758e-05,16,0.000300616810193307
"InsDel7","Liver",0.217600169138634,0.0122704813643995,2,0.0323679842184671
"InsDel8","Liver",2.37626424431673,8.72443354112989e-06,40,3.8571179866048e-05
"InsDel9","Liver",0.301656734743176,3.00066201893369e-10,22,2.03270652895508e-09
"InsDel10","Liver",0.183864158477836,0.00299166551148374,2,0.00974030631645869
"InsDel11","Liver",0.891938878546044,1,2,1
"InsDel12","Liver",0,0.010051060753835,0,0.0272351323652302
"InsDel13","Liver",0,5.11792334143161e-09,0,3.16107029911953e-08
"InsDel14","Liver",0,5.56351573624665e-09,0,3.38648783945448e-08
"InsDel17","Liver",0,0.113917080247796,0,0.218471112803993
"InsDel18","Liver",0.20511411380914,0.0902970739282417,1,0.180535504253113
"InsDel19a","Liver",0,0.0352701569311145,0,0.0827567927992632
"InsDel19b","Liver",0.15661337006582,9.95558187600237e-33,28,2.20070757259e-31
"InsDel23","Liver",2.37007747042481,0.0212840640051408,9,0.0532101600128519
"InsDel_A_alpha","Liver",0.077031932595281,0.00010565585269775,1,0.000407114294798671
"InsDel_A_beta","Liver",0.216189425256078,0.0123306606546541,2,0.0323679842184671
